月份,日期,合格产品累计数,不合格产品累计数
1,1,3453,9
1,2,3245,7
1,3,3449,4
1,4,3461,5
1,5,3439,4
1,6,3182,5
1,7,3663,4
1,8,3335,1
1,9,3093,6
1,10,3343,3
1,11,3399,5
1,12,3582,2
1,13,3205,4
1,14,3514,8
1,15,3269,2
1,16,3889,8
1,17,3525,5
1,18,3069,2
1,19,3314,4
1,20,3618,5
1,21,3787,4
1,22,3631,1
1,23,3119,6
1,24,3566,2
1,25,3184,7
1,26,2980,8
1,27,3222,5
1,28,3227,2
1,29,3042,3
1,30,3539,8
1,31,3650,4
2,1,3243,3
2,2,3357,3
2,3,3415,6
2,4,3309,5
2,5,3022,6
2,6,3131,0
2,7,3400,7
2,8,3886,2
2,9,3055,2
2,10,3154,1
2,11,3054,0
2,12,3280,3
2,13,3421,0
2,14,3499,6
2,15,3357,1
2,16,3264,5
2,17,2976,9
2,18,3306,0
2,19,3122,5
2,20,3343,2
2,21,3304,6
2,22,3173,1
2,23,3681,3
2,24,3180,7
2,25,3168,1
2,26,3394,1
2,27,3055,1
2,28,3847,5
3,1,2952,3
3,2,3085,3
3,3,3070,2
3,4,2771,4
3,5,2981,6
3,6,3214,0
3,7,3422,7
3,8,3699,10
3,9,3280,0
3,10,2986,2
3,11,3201,9
3,12,3258,0
3,13,3090,6
3,14,3574,3
3,15,3567,9
3,16,2929,8
3,17,3688,3
3,18,3009,1
3,19,2879,9
3,20,3243,8
3,21,3424,8
3,22,2984,2
3,23,3244,1
3,24,3018,8
3,25,3103,6
3,26,2979,9
3,27,3703,11
3,28,3439,4
3,29,3233,1
3,30,2983,6
3,31,2884,8
4,1,2868,4
4,2,3663,7
4,3,2940,7
4,4,3357,11
4,5,2799,1
4,6,3319,8
4,7,3239,3
4,8,3339,9
4,9,3627,2
4,10,2740,1
4,11,3760,4
4,12,2748,4
4,13,2831,2
4,14,3105,9
4,15,2757,1
4,16,2993,6
4,17,3349,1
4,18,3377,12
4,19,3482,11
4,20,3218,9
4,21,3705,11
4,22,3463,12
4,23,3081,9
4,24,3347,7
4,25,2915,0
4,26,3399,9
4,27,3365,1
4,28,2643,0
4,29,3435,3
4,30,2738,6
5,1,3170,4
5,2,3628,11
5,3,3127,8
5,4,3401,2
5,5,3275,4
5,6,3495,1
5,7,2986,4
5,8,3168,0
5,9,2999,12
5,10,3043,4
5,11,2983,5
5,12,3207,3
5,13,3308,2
5,14,2981,7
5,15,2975,8
5,16,3369,2
5,17,2982,7
5,18,3199,2
5,19,3256,3
5,20,2962,3
5,21,2968,4
5,22,3567,4
5,23,3308,0
5,24,3032,4
5,25,2996,5
5,26,3122,2
5,27,3067,12
5,28,3443,7
5,29,3384,8
5,30,3109,11
5,31,3383,10
6,1,3282,9
6,2,2940,10
6,3,2851,4
6,4,3258,3
6,5,2993,1
6,6,2990,1
6,7,2907,16
6,8,3179,13
6,9,2775,5
6,10,3089,4
6,11,2957,11
6,12,3223,8
6,13,3123,11
6,14,3205,15
6,15,3011,19
6,16,3093,5
6,17,3487,15
6,18,2999,0
6,19,3353,10
6,20,2822,10
6,21,3394,9
6,22,2981,7
6,23,3067,17
6,24,2905,13
6,25,2980,10
6,26,3091,9
6,27,2977,13
6,28,3075,4
6,29,3504,18
6,30,3340,12
7,1,2784,8
7,2,3032,0
7,3,3200,5
7,4,3009,5
7,5,3341,20
7,6,2988,2
7,7,3625,2
7,8,3197,20
7,9,3187,3
7,10,2984,8
7,11,3056,5
7,12,3274,10
7,13,3195,2
7,14,2751,7
7,15,3213,5
7,16,3036,4
7,17,3188,3
7,18,3215,1
7,19,2944,7
7,20,3418,12
7,21,3138,17
7,22,3266,15
7,23,2997,5
7,24,3201,8
7,25,2729,1
7,26,2882,6
7,27,3296,3
7,28,2922,7
7,29,2786,9
7,30,2904,3
7,31,3131,8
8,1,2847,4
8,2,3250,8
8,3,3199,12
8,4,3102,6
8,5,2677,14
8,6,2888,7
8,7,2947,7
8,8,3244,9
8,9,2932,1
8,10,3414,13
8,11,3050,21
8,12,3263,4
8,13,2935,2
8,14,3039,16
8,15,2824,11
8,16,3110,4
8,17,3029,13
8,18,2988,2
8,19,3050,2
8,20,3495,9
8,21,3051,15
8,22,2960,6
8,23,3099,8
8,24,3011,0
8,25,2924,1
8,26,3175,12
8,27,2867,3
8,28,3614,12
8,29,3015,0
8,30,2982,3
8,31,2829,0
9,1,3020,7
9,2,3163,0
9,3,3355,1
9,4,3173,0
9,5,3739,7
9,6,2862,1
9,7,3345,8
9,8,3184,8
9,9,3507,13
9,10,3121,0
9,11,3438,2
9,12,3708,2
9,13,3269,1
9,14,3039,8
9,15,3434,14
9,16,3354,9
9,17,3451,8
9,18,3055,4
9,19,3432,10
9,20,3097,2
9,21,3247,3
9,22,3438,8
9,23,3073,7
9,24,3445,7
9,25,3550,7
9,26,3161,5
9,27,3604,12
9,28,3445,14
9,29,3020,5
9,30,3419,6
10,1,3424,7
10,2,3334,13
10,3,3602,3
10,4,3269,3
10,5,3327,4
10,6,3148,3
10,7,3209,2
10,8,2981,9
10,9,3233,16
10,10,3481,2
10,11,3185,2
10,12,3403,2
10,13,3150,4
10,14,3165,6
10,15,3442,7
10,16,3336,4
10,17,3446,2
10,18,3609,4
10,19,3495,5
10,20,3399,6
10,21,2984,0
10,22,3223,8
10,23,3392,11
10,24,3316,4
10,25,3478,3
10,26,2980,9
10,27,3227,3
10,28,3300,3
10,29,3220,4
10,30,3079,9
10,31,3100,9
11,1,3235,1
11,2,3322,4
11,3,3034,7
11,4,3458,2
11,5,3494,9
11,6,3217,4
11,7,3506,0
11,8,3317,5
11,9,3492,12
11,10,3325,1
11,11,3416,7
11,12,3136,2
11,13,3304,3
11,14,3476,6
11,15,3047,12
11,16,3491,5
11,17,3442,6
11,18,3288,11
11,19,3128,7
11,20,3428,3
11,21,3174,10
11,22,3143,10
11,23,3587,6
11,24,3454,2
11,25,3312,5
11,26,3271,4
11,27,3206,12
11,28,3193,3
11,29,3167,8
11,30,3135,8
12,1,3333,4
12,2,3412,7
12,3,3708,5
12,4,3552,0
12,5,3455,8
12,6,3307,6
12,7,3593,5
12,8,3238,6
12,9,3517,7
12,10,3328,3
12,11,3320,1
12,12,3454,9
12,13,3297,7
12,14,3462,1
12,15,3419,2
12,16,3180,2
12,17,3539,10
12,18,3284,1
12,19,3394,3
12,20,3441,2
12,21,3632,8
12,22,3557,0
12,23,3695,8
12,24,3141,7
12,25,3471,3
12,26,3333,6
12,27,3462,10
12,28,3551,5
12,29,3231,2
12,30,3343,0
12,31,3651,9
